"id","variantId","smakeVariantId","variantName","ean","size","price","tax","taxRate","total","fileName","baseColor","compositeMediaId","smakeCompositeMediaId","productionMediaId","smakeProductionMediaId","width_mm","height_mm","salePrice","boldeliverycode","boldescription","isPublishedAtBol","created_at","updated_at"
1,8,734415,meneer E.Hoorn,"7435156898875",S,6.3,1.2,19,7.5,"15553260237e3cf0e56fccbef2117e7472b1571205.png",White,1,5220525,1,5220523,293.2,256.6,40,"3-5d",,,2019-04-15 13:00:52,2019-04-15 13:00:52
2,100,735436,pacman and friend,"7435156898868",XL,6.61,1.25,19,7.86,"1555434716d481ae530b177e40acfe0fcc53923c4b.png",Stone Blue,2,5226607,2,5226606,287.5,215.7,40,"3-5d",,,2019-04-16 19:14:07,2019-04-16 19:14:07
