"id","designName","baseColor","designId","smakeId","fileName","fileFolder","fileSize","smakeFileName","smakeDownloadUrl","width_px","height_px","created_at","updated_at"
1,meneer E.Hoorn,White,1,5220525,"15553260237e3cf0e56fccbef2117e7472b1571205.png",customVariants,914347,cd452d734adc4d5d9840c1a92eb9c82e.png,https://api.smake.io/v2/apps/10087/media/5220525/download,464,406,2019-04-15 13:00:23,2019-04-15 13:00:50
2,pacman and friend,Stone Blue,2,5226607,"1555434716d481ae530b177e40acfe0fcc53923c4b.png",customVariants,1033921,"41c9b045e02042c99a5f27a16880d5b2.png",https://api.smake.io/v2/apps/10087/media/5226607/download,411.0226163012337,308.2669622259252,2019-04-16 19:11:56,2019-04-16 19:14:01
